"model","Accuracy","Kappa"
"Random Forest","0.995005696171672","0.993682156295461"
"SVM (radial)","0.934971012762087","0.917595041173085"
"LogitBoost","0.897631792557832","0.869517893802473"
"SVM (linear)","0.786003966356981","0.727934575635575"
"Neural Net","0.431451392397578","0.276206645592804"
"Bayes GLM","0.402710697348364","0.23618747193225"
